股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,原因
GROW,US,"U.S. Global Investors, Inc. - Class A Common Stock",Asset Management,通用,ROE、现金流、资产负债率,10.48,0.75,3.6%,3.3%,3289750.00,5.9%,-,-261.00,未分红/不适用,-30.1%,4,6,80,Medium,低,排除,0,PB低但近5年出现亏损；10年净利润波动较大；长期ROE低于5%；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
GRPN,US,"Groupon, Inc. - Common Stock",Internet Content & Information,科技,营收增长、自由现金流、研发投入效率,-,-10.69,-653.9%,1440.8%,-46196750.00,106.3%,26.7%,-2.19,未分红/不适用,-5.9%,4,6,80,Medium,低,排除,0,科技公司营收增长转负；科技公司自由现金流为负；PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；资产负债率过高；商誉占比偏高；利息覆盖倍数过低；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等
GRRR,US,Gorilla Technology Group Inc. - Ordinary shares,Software - Infrastructure,科技,营收增长、自由现金流、研发投入效率,-,1.73,-94.0%,149.7%,-21365435.50,27.9%,-,-19.11,未分红/不适用,65.4%,4,6,80,Medium,低,排除,0,科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；利息覆盖倍数过低；数据质量为Medium，筛选结果置信度中等
GRWG,US,GrowGeneration Corp. - Common Stock,Specialty Retail,消费,ROE、毛利率稳定性、分红稳定性,-,0.92,-42.1%,23.6%,-4996250.00,33.7%,1.4%,-,未分红/不适用,-16.5%,4,6,80,Medium,低,排除,0,消费公司长期ROE不够突出；PB低但近5年出现亏损；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
GSAT,US,"Globalstar, Inc. - Common Stock",Telecom Services,通用,ROE、现金流、资产负债率,-,30.64,-27.0%,36.9%,191307250.00,84.7%,1.3%,-,未分红/不适用,22.5%,4,6,80,Medium,中,排除,0,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GSBC,US,"Great Southern Bancorp, Inc. - Common Stock",Banks - Regional,银行,不良率、拨备覆盖、资本充足率,10.72,1.16,11.9%,1.7%,61833000.00,88.6%,0.1%,-,未分红/不适用,-0.6%,4,6,80,Medium,中,排除,30,银行需补充不良率/拨备/资本充足率专项数据；资产负债率过高；资产负债率相对偏高；数据质量为Medium，筛选结果置信度中等
GSHD,US,"Goosehead Insurance, Inc. - Class A Common Stock",Insurance Brokers,保险,偿付能力、久期缺口、投资收益质量,33.38,-7.43,24.0%,44.5%,48610250.00,139.2%,-,3.14,未分红/不适用,20.4%,4,6,80,Medium,低,排除,30,保险需补充偿付能力/久期缺口专项数据；10年ROE波动较大；资产负债率过高；数据质量为Medium，筛选结果置信度中等
GSIT,US,"GSI Technology, Inc. - Common Stock",Semiconductors,科技,营收增长、自由现金流、研发投入效率,-,4.33,-37.5%,13.2%,-15694000.00,34.8%,18.4%,-,未分红/不适用,-15.0%,4,0,80,Medium,低,排除,0,科技公司营收增长转负；科技公司自由现金流为负；10年内亏损年份过多；10年ROE波动较大；长期ROE低于5%；近5年自由现金流多次为负；近5年营收增长偏弱；数据质量为Medium，筛选结果置信度中等
GSIW,US,Garden Stage Limited - Class A Ordinary Shares,Capital Markets,金融,杠杆、资产质量、资本约束,-,1.54,-130.4%,179.2%,-4323964.75,57.8%,-,-,未分红/不适用,34.1%,4,0,80,Medium,高,排除,0,金融行业需专项资产质量与资本约束分析；10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年自由现金流多次为负；高杠杆行业，需资产负债表专项分析；数据质量为Medium，筛选结果置信度中等
GSM,US,Ferroglobe PLC - Ordinary Shares,Other Industrial Metals & Mining,周期,利润波动、ROE波动、资本开支周期,-,1.23,13.3%,40.1%,148976000.00,51.1%,0.9%,-9.32,未分红/不适用,-19.9%,4,6,80,Medium,低,排除,0,周期行业ROE波动显著；周期行业利润弹性过大；10年ROE波动较大；10年净利润波动较大；利息覆盖倍数过低；近5年营收明显下滑；数据质量为Medium，筛选结果置信度中等
